	Astrocytes_14	Astrocytes_40	Astrocytes_41	Blood_73	Ependymal_47	Excluded_38	Immune_32	Immune_34	Immune_35	Neurons_25	Neurons_26	Neurons_27	Neurons_63	Oligos_0	Oligos_1	Oligos_14	Vascular_14	Vascular_67	Vascular_69
Spotx1	0.0	0.0	0.0	0.0	0.10000000149011612	0.10000000149011612	0.0	0.4000000059604645	0.0	0.0	0.0	0.0	0.0	0.0	0.4000000059604645	0.0	0.0	0.0	0.0
Spotx2	0.1666666716337204	0.3333333432674408	0.0	0.0	0.0	0.0	0.1666666716337204	0.0	0.0	0.3333333432674408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333432674408	0.0	0.0	0.0	0.0	0.6666666865348816	0.0
Spotx4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0
Spotx5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
Spotx6	0.0	0.0	0.6666666865348816	0.3333333432674408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx8	0.0	0.0	0.0	0.6666666865348816	0.0	0.0	0.0	0.0	0.0	0.1111111119389534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222238779068	0.0
Spotx9	0.0	0.0	0.0	0.0	0.1111111119389534	0.0	0.0	0.1111111119389534	0.2222222238779068	0.0	0.0	0.0	0.0	0.4444444477558136	0.0	0.1111111119389534	0.0	0.0	0.0
Spotx10	0.0	0.0	0.0	0.0	0.1111111119389534	0.0	0.0	0.0	0.5555555820465088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333432674408	0.0
Spotx11	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0
Spotx12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.699999988079071	0.0	0.30000001192092896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx13	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.125	0.0
Spotx14	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx15	0.0	0.0	0.0	0.5714285969734192	0.0	0.0	0.2857142984867096	0.0	0.0	0.0	0.0	0.1428571492433548	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx16	0.0	0.5	0.0	0.1666666716337204	0.1666666716337204	0.1666666716337204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Spotx18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx19	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0
Spotx20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx21	0.2857142984867096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7142857313156128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spotx23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Spotx24	0.0	0.0	0.2222222238779068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222238779068	0.2222222238779068	0.0	0.0	0.3333333432674408	0.0	0.0	0.0
